Entity,Code,Year,Biobiversity
Afghanistan,AFG,1993,0.84
Afghanistan,AFG,1994,0.84
Afghanistan,AFG,1995,0.84
Afghanistan,AFG,1996,0.84
Afghanistan,AFG,1997,0.84
Afghanistan,AFG,1998,0.84
Afghanistan,AFG,1999,0.84
Afghanistan,AFG,2000,0.84
Afghanistan,AFG,2001,0.84
Afghanistan,AFG,2002,0.84
Afghanistan,AFG,2003,0.84
Afghanistan,AFG,2004,0.84
Afghanistan,AFG,2005,0.84
Afghanistan,AFG,2006,0.84
Afghanistan,AFG,2007,0.84
Afghanistan,AFG,2008,0.84
Afghanistan,AFG,2009,0.84
Afghanistan,AFG,2010,0.84
Afghanistan,AFG,2011,0.84
Afghanistan,AFG,2012,0.84
Afghanistan,AFG,2013,0.84
Afghanistan,AFG,2014,0.84
Afghanistan,AFG,2015,0.84
Afghanistan,AFG,2016,0.84
Afghanistan,AFG,2017,0.84
Afghanistan,AFG,2018,0.84
Afghanistan,AFG,2019,0.84
Afghanistan,AFG,2020,0.84
Afghanistan,AFG,2021,0.84
Afghanistan,AFG,2022,0.84
Armenia,ARM,1993,0.84
Armenia,ARM,1994,0.84
Armenia,ARM,1995,0.84
Armenia,ARM,1996,0.84
Armenia,ARM,1997,0.84
Armenia,ARM,1998,0.84
Armenia,ARM,1999,0.84
Armenia,ARM,2000,0.84
Armenia,ARM,2001,0.84
Armenia,ARM,2002,0.84
Armenia,ARM,2003,0.84
Armenia,ARM,2004,0.84
Armenia,ARM,2005,0.83
Armenia,ARM,2006,0.83
Armenia,ARM,2007,0.83
Armenia,ARM,2008,0.83
Armenia,ARM,2009,0.83
Armenia,ARM,2010,0.83
Armenia,ARM,2011,0.83
Armenia,ARM,2012,0.83
Armenia,ARM,2013,0.83
Armenia,ARM,2014,0.83
Armenia,ARM,2015,0.83
Armenia,ARM,2016,0.83
Armenia,ARM,2017,0.83
Armenia,ARM,2018,0.83
Armenia,ARM,2019,0.83
Armenia,ARM,2020,0.83
Armenia,ARM,2021,0.83
Armenia,ARM,2022,0.83
Azerbaijan,AZE,1993,0.92
Azerbaijan,AZE,1994,0.92
Azerbaijan,AZE,1995,0.92
Azerbaijan,AZE,1996,0.92
Azerbaijan,AZE,1997,0.92
Azerbaijan,AZE,1998,0.92
Azerbaijan,AZE,1999,0.92
Azerbaijan,AZE,2000,0.92
Azerbaijan,AZE,2001,0.91
Azerbaijan,AZE,2002,0.91
Azerbaijan,AZE,2003,0.91
Azerbaijan,AZE,2004,0.91
Azerbaijan,AZE,2005,0.91
Azerbaijan,AZE,2006,0.91
Azerbaijan,AZE,2007,0.91
Azerbaijan,AZE,2008,0.91
Azerbaijan,AZE,2009,0.91
Azerbaijan,AZE,2010,0.91
Azerbaijan,AZE,2011,0.91
Azerbaijan,AZE,2012,0.91
Azerbaijan,AZE,2013,0.91
Azerbaijan,AZE,2014,0.91
Azerbaijan,AZE,2015,0.91
Azerbaijan,AZE,2016,0.91
Azerbaijan,AZE,2017,0.91
