Entity,Code,Year,Refugee population by country or territory of asylum
Afghanistan,AFG,1990,50
Afghanistan,AFG,1991,38
Afghanistan,AFG,1992,60025
Afghanistan,AFG,1993,32131
Afghanistan,AFG,1994,19134
Afghanistan,AFG,1995,19605
Afghanistan,AFG,1996,18779
Afghanistan,AFG,1997,5
Afghanistan,AFG,2001,10
Afghanistan,AFG,2003,24
Afghanistan,AFG,2004,31
Afghanistan,AFG,2005,31
Afghanistan,AFG,2006,34
Afghanistan,AFG,2007,43
Afghanistan,AFG,2008,37
Afghanistan,AFG,2009,36
Afghanistan,AFG,2010,6434
Afghanistan,AFG,2011,3011
Afghanistan,AFG,2012,16184
Afghanistan,AFG,2013,16861
Afghanistan,AFG,2014,300421
Afghanistan,AFG,2015,257553
Afghanistan,AFG,2016,59770
Afghanistan,AFG,2017,75927
Afghanistan,AFG,2018,72228
Afghanistan,AFG,2019,72227
Afghanistan,AFG,2020,72278
Armenia,ARM,1992,300000
Armenia,ARM,1993,334000
Armenia,ARM,1994,304040
Armenia,ARM,1995,218950
Armenia,ARM,1996,218950
Armenia,ARM,1997,219000
Armenia,ARM,1998,310012
Armenia,ARM,1999,296215
Armenia,ARM,2000,280586
Armenia,ARM,2001,264337
Armenia,ARM,2002,247549
Armenia,ARM,2003,239289
Armenia,ARM,2004,235233
Armenia,ARM,2005,219547
Armenia,ARM,2006,113713
Armenia,ARM,2007,4564
Armenia,ARM,2008,3952
Armenia,ARM,2009,3605
Armenia,ARM,2010,3292
Armenia,ARM,2011,2913
Armenia,ARM,2012,2849
Armenia,ARM,2013,13727
Armenia,ARM,2014,17635
Armenia,ARM,2015,19314
Armenia,ARM,2016,17883
Armenia,ARM,2017,17968
Armenia,ARM,2018,17966
Armenia,ARM,2019,17980
Armenia,ARM,2020,107930
Azerbaijan,AZE,1992,246000
Azerbaijan,AZE,1993,228840
Azerbaijan,AZE,1994,231635
Azerbaijan,AZE,1995,233682
Azerbaijan,AZE,1996,233693
Azerbaijan,AZE,1997,233716
Azerbaijan,AZE,1998,221636
Azerbaijan,AZE,1999,221642
Azerbaijan,AZE,2000,280
Azerbaijan,AZE,2001,363
Azerbaijan,AZE,2002,453
Azerbaijan,AZE,2003,324
Azerbaijan,AZE,2004,8604
Azerbaijan,AZE,2005,3004
Azerbaijan,AZE,2006,2619
Azerbaijan,AZE,2007,2351
Azerbaijan,AZE,2008,2060
Azerbaijan,AZE,2009,1643
Azerbaijan,AZE,2010,1894
Azerbaijan,AZE,2011,1727
Azerbaijan,AZE,2012,1467
Azerbaijan,AZE,2013,1377
Azerbaijan,AZE,2014,1298
Azerbaijan,AZE,2015,1279
Azerbaijan,AZE,2016,1193
Azerbaijan,AZE,2017,1120
Azerbaijan,AZE,2018,1130
Azerbaijan,AZE,2019,1109
Azerbaijan,AZE,2020,1582
Georgia,GEO,1995,100
Georgia,GEO,1996,95
Georgia,GEO,1997,161
Georgia,GEO,1998,19
Georgia,GEO,1999,5181
Georgia,GEO,2000,7621
Georgia,GEO,2001,7902
Georgia,GEO,2002,4194
Georgia,GEO,2003,3864
Georgia,GEO,2004,2559
Georgia,GEO,2005,2500
Georgia,GEO,2006,1377
Georgia,GEO,2007,1051
Georgia,GEO,2008,1001
Georgia,GEO,2009,872
Georgia,GEO,2010,638
Georgia,GEO,2011,461
Georgia,GEO,2012,469
Georgia,GEO,2013,847
Georgia,GEO,2014,858
Georgia,GEO,2015,1973
Georgia,GEO,2016,2122
Georgia,GEO,2017,2089
Georgia,GEO,2018,1987
Georgia,GEO,2019,1355
Georgia,GEO,2020,1800
Iran,IRN,1962,2000
Iran,IRN,1963,1500
Iran,IRN,1968,300
Iran,IRN,1969,300
Iran,IRN,1979,130100
Iran,IRN,1980,330000
Iran,IRN,1981,1565000
Iran,IRN,1982,1700060
Iran,IRN,1983,1900060
Iran,IRN,1984,2000000
Iran,IRN,1985,2300000
Iran,IRN,1986,2590000
Iran,IRN,1987,2760000
Iran,IRN,1988,2850000
Iran,IRN,1989,2850000
Iran,IRN,1990,4174401
Iran,IRN,1991,4404995
Iran,IRN,1992,4150723
Iran,IRN,1993,2495038
Iran,IRN,1994,2236350
Iran,IRN,1995,2071988
Iran,IRN,1996,2030359
Iran,IRN,1997,1982553
Iran,IRN,1998,1931332
Iran,IRN,1999,1835688
Iran,IRN,2000,1868000
Iran,IRN,2001,1868000
Iran,IRN,2002,1306599
Iran,IRN,2003,984895
Iran,IRN,2004,1045975
Iran,IRN,2005,974301
Iran,IRN,2006,968368
Iran,IRN,2007,963544
Iran,IRN,2008,980104
Iran,IRN,2009,1070483
Iran,IRN,2010,1073363
Iran,IRN,2011,886465
Iran,IRN,2012,868239
Iran,IRN,2013,857352
Iran,IRN,2014,982025
Iran,IRN,2015,979435
Iran,IRN,2016,979435
Iran,IRN,2017,979435
Iran,IRN,2018,979435
Iran,IRN,2019,979435
Iran,IRN,2020,800025
Israel,ISR,1998,22
Israel,ISR,1999,123
Israel,ISR,2000,4067
Israel,ISR,2001,4159
