Entity,Code,Year,Refugee population by country or territory of origin
Afghanistan,AFG,1979,500000
Afghanistan,AFG,1980,1734921
Afghanistan,AFG,1981,3879984
Afghanistan,AFG,1982,4488214
Afghanistan,AFG,1983,4712735
Afghanistan,AFG,1984,4417651
Afghanistan,AFG,1985,4653193
Afghanistan,AFG,1986,5094283
Afghanistan,AFG,1987,5511740
Afghanistan,AFG,1988,5622982
Afghanistan,AFG,1989,5643989
Afghanistan,AFG,1990,6339095
Afghanistan,AFG,1991,6306301
Afghanistan,AFG,1992,4552153
Afghanistan,AFG,1993,3374575
Afghanistan,AFG,1994,2731166
Afghanistan,AFG,1995,2679132
Afghanistan,AFG,1996,2674234
Afghanistan,AFG,1997,2676675
Afghanistan,AFG,1998,2667118
Afghanistan,AFG,1999,2601690
Afghanistan,AFG,2000,3587327
Afghanistan,AFG,2001,3809763
Afghanistan,AFG,2002,2510294
Afghanistan,AFG,2003,2136039
Afghanistan,AFG,2004,2414460
Afghanistan,AFG,2005,2166139
Afghanistan,AFG,2006,2107510
Afghanistan,AFG,2007,3057655
Afghanistan,AFG,2008,2833116
Afghanistan,AFG,2009,2887114
Afghanistan,AFG,2010,3054699
Afghanistan,AFG,2011,2664423
Afghanistan,AFG,2012,2586132
Afghanistan,AFG,2013,2556483
Afghanistan,AFG,2014,2596259
Afghanistan,AFG,2015,2666294
Afghanistan,AFG,2016,2501447
Afghanistan,AFG,2017,2624265
Afghanistan,AFG,2018,2681267
Afghanistan,AFG,2019,2727556
Afghanistan,AFG,2020,2594774
Armenia,ARM,1964,170
Armenia,ARM,1968,200
Armenia,ARM,1969,200
Armenia,ARM,1970,200
Armenia,ARM,1971,4070
Armenia,ARM,1972,3500
Armenia,ARM,1977,440
Armenia,ARM,1978,420
Armenia,ARM,1979,700
Armenia,ARM,1980,333
Armenia,ARM,1981,333
Armenia,ARM,1982,733
Armenia,ARM,1983,333
Armenia,ARM,1984,333
Armenia,ARM,1985,333
Armenia,ARM,1986,528
Armenia,ARM,1987,208
Armenia,ARM,1988,300
Armenia,ARM,1992,195000
Armenia,ARM,1993,200116
Armenia,ARM,1994,201837
Armenia,ARM,1995,201439
Armenia,ARM,1996,203232
Armenia,ARM,1997,203690
Armenia,ARM,1998,193147
Armenia,ARM,1999,193228
Armenia,ARM,2000,5787
Armenia,ARM,2001,7206
Armenia,ARM,2002,13244
Armenia,ARM,2003,13158
Armenia,ARM,2004,13409
Armenia,ARM,2005,13965
Armenia,ARM,2006,14913
Armenia,ARM,2007,15435
Armenia,ARM,2008,16333
Armenia,ARM,2009,18004
Armenia,ARM,2010,17553
Armenia,ARM,2011,16491
Armenia,ARM,2012,15937
Armenia,ARM,2013,11995
Armenia,ARM,2014,11839
Armenia,ARM,2015,11211
Armenia,ARM,2016,10707
Armenia,ARM,2017,10786
Armenia,ARM,2018,11040
Armenia,ARM,2019,10962
Armenia,ARM,2020,10518
Azerbaijan,AZE,1992,300000
Azerbaijan,AZE,1993,328005
Azerbaijan,AZE,1994,299092
Azerbaijan,AZE,1995,200519
Azerbaijan,AZE,1996,236086
Azerbaijan,AZE,1997,234949
Azerbaijan,AZE,1998,329655
Azerbaijan,AZE,1999,311131
Azerbaijan,AZE,2000,284278
Azerbaijan,AZE,2001,268755
Azerbaijan,AZE,2002,260217
Azerbaijan,AZE,2003,253248
Azerbaijan,AZE,2004,250584
Azerbaijan,AZE,2005,233678
Azerbaijan,AZE,2006,126068
Azerbaijan,AZE,2007,15922
Azerbaijan,AZE,2008,16321
Azerbaijan,AZE,2009,16945
Azerbaijan,AZE,2010,16756
Azerbaijan,AZE,2011,16168
Azerbaijan,AZE,2012,15541
Azerbaijan,AZE,2013,10808
Azerbaijan,AZE,2014,10508
Azerbaijan,AZE,2015,9707
Azerbaijan,AZE,2016,10118
Azerbaijan,AZE,2017,10893
Azerbaijan,AZE,2018,11246
Azerbaijan,AZE,2019,11626
Azerbaijan,AZE,2020,101531
Georgia,GEO,1993,6010
Georgia,GEO,1994,5114
Georgia,GEO,1995,305
Georgia,GEO,1996,48485
Georgia,GEO,1997,47159
Georgia,GEO,1998,35665
Georgia,GEO,1999,29873
Georgia,GEO,2000,21818
Georgia,GEO,2001,17490
Georgia,GEO,2002,16970
Georgia,GEO,2003,12488
Georgia,GEO,2004,6620
Georgia,GEO,2005,7289
Georgia,GEO,2006,6337
Georgia,GEO,2007,11805
Georgia,GEO,2008,12597
Georgia,GEO,2009,15015
Georgia,GEO,2010,10636
Georgia,GEO,2011,10115
Georgia,GEO,2012,9266
Georgia,GEO,2013,6787
Georgia,GEO,2014,6687
Georgia,GEO,2015,6505
Georgia,GEO,2016,6405
Georgia,GEO,2017,6535
Georgia,GEO,2018,6983
Georgia,GEO,2019,7519
Georgia,GEO,2020,7358
Iran,IRN,1980,48
Iran,IRN,1981,803
Iran,IRN,1982,2480
Iran,IRN,1983,5577
Iran,IRN,1984,5244
Iran,IRN,1985,88245
Iran,IRN,1986,87921
Iran,IRN,1987,10992
Iran,IRN,1988,58259
Iran,IRN,1989,52798
Iran,IRN,1990,75889
Iran,IRN,1991,130366
Iran,IRN,1992,128781
Iran,IRN,1993,115516
Iran,IRN,1994,121288
Iran,IRN,1995,112360
Iran,IRN,1996,104122
Iran,IRN,1997,93986
Iran,IRN,1998,89967
Iran,IRN,1999,86845
Iran,IRN,2000,88266
Iran,IRN,2001,92490
Iran,IRN,2002,138362
Iran,IRN,2003,122530
Iran,IRN,2004,115171
Iran,IRN,2005,99430
Iran,IRN,2006,102479
Iran,IRN,2007,68398
Iran,IRN,2008,69051
Iran,IRN,2009,72772
Iran,IRN,2010,68786
Iran,IRN,2011,72366
Iran,IRN,2012,75934
Iran,IRN,2013,75061
Iran,IRN,2014,82202
Iran,IRN,2015,84950
Iran,IRN,2016,94103
Iran,IRN,2017,118640
Iran,IRN,2018,129941
Iran,IRN,2019,128998
Iran,IRN,2020,134767
Israel,ISR,1988,5
Israel,ISR,1989,5
Israel,ISR,1990,14
Israel,ISR,1991,28
Israel,ISR,1992,37
Israel,ISR,1993,114
Israel,ISR,1994,888
Israel,ISR,1995,937
Israel,ISR,1996,1121
Israel,ISR,1997,988
Israel,ISR,1998,832
Israel,ISR,1999,473
Israel,ISR,2000,414
Israel,ISR,2001,361
Israel,ISR,2002,561
Israel,ISR,2003,626
Israel,ISR,2004,669
Israel,ISR,2005,624
Israel,ISR,2006,876
Israel,ISR,2007,1539
Israel,ISR,2008,1486
Israel,ISR,2009,1298
Israel,ISR,2010,1290
Israel,ISR,2011,1323
Israel,ISR,2012,1326
Israel,ISR,2013,1026
Israel,ISR,2014,967
Israel,ISR,2015,787
Israel,ISR,2016,487
Israel,ISR,2017,469
Israel,ISR,2018,492
Israel,ISR,2019,452
Israel,ISR,2020,398
Jordan,JOR,1984,5
Jordan,JOR,1985,105
Jordan,JOR,1986,5
Jordan,JOR,1987,5
Jordan,JOR,1988,7
Jordan,JOR,1989,14
Jordan,JOR,1990,56
Jordan,JOR,1991,114
Jordan,JOR,1992,183
Jordan,JOR,1993,239
Jordan,JOR,1994,440
Jordan,JOR,1995,511
Jordan,JOR,1996,707
Jordan,JOR,1997,720
Jordan,JOR,1998,897
Jordan,JOR,1999,970
Jordan,JOR,2000,915
Jordan,JOR,2001,773
Jordan,JOR,2002,1280
Jordan,JOR,2003,1149
Jordan,JOR,2004,1158
Jordan,JOR,2005,1778
Jordan,JOR,2006,1592
Jordan,JOR,2007,1778
Jordan,JOR,2008,1883
Jordan,JOR,2009,2111
Jordan,JOR,2010,2250
Jordan,JOR,2011,2244
Jordan,JOR,2012,2363
Jordan,JOR,2013,1622
Jordan,JOR,2014,1711
Jordan,JOR,2015,1836
Jordan,JOR,2016,1919
Jordan,JOR,2017,2119
Jordan,JOR,2018,2426
Jordan,JOR,2019,2313
Jordan,JOR,2020,2489
Kazakhstan,KAZ,1994,24
Kazakhstan,KAZ,1995,137
Kazakhstan,KAZ,1996,40163
Kazakhstan,KAZ,1997,40772
Kazakhstan,KAZ,1998,20458
Kazakhstan,KAZ,1999,9059
Kazakhstan,KAZ,2000,2537
Kazakhstan,KAZ,2001,2803
Kazakhstan,KAZ,2002,6317
Kazakhstan,KAZ,2003,6563
Kazakhstan,KAZ,2004,6124
Kazakhstan,KAZ,2005,4321
Kazakhstan,KAZ,2006,7374
Kazakhstan,KAZ,2007,5232
Kazakhstan,KAZ,2008,4825
Kazakhstan,KAZ,2009,3741
Kazakhstan,KAZ,2010,3631
Kazakhstan,KAZ,2011,3497
Kazakhstan,KAZ,2012,3567
Kazakhstan,KAZ,2013,2114
Kazakhstan,KAZ,2014,2219
Kazakhstan,KAZ,2015,2263
Kazakhstan,KAZ,2016,2366
Kazakhstan,KAZ,2017,2406
Kazakhstan,KAZ,2018,2520
Kazakhstan,KAZ,2019,2757
Kazakhstan,KAZ,2020,2776
Kuwait,KWT,1990,46
Kuwait,KWT,1991,49
Kuwait,KWT,1992,77
Kuwait,KWT,1993,91
Kuwait,KWT,1994,758
Kuwait,KWT,1995,764
Kuwait,KWT,1996,854
Kuwait,KWT,1997,824
Kuwait,KWT,1998,827
Kuwait,KWT,1999,988
Kuwait,KWT,2000,688
Kuwait,KWT,2001,696
Kuwait,KWT,2002,705
Kuwait,KWT,2003,615
Kuwait,KWT,2004,391
Kuwait,KWT,2005,374
Kuwait,KWT,2006,610
Kuwait,KWT,2007,741
Kuwait,KWT,2008,847
Kuwait,KWT,2009,936
Kuwait,KWT,2010,986
Kuwait,KWT,2011,1112
Kuwait,KWT,2012,1189
Kuwait,KWT,2013,971
Kuwait,KWT,2014,974
Kuwait,KWT,2015,1076
Kuwait,KWT,2016,1013
Kuwait,KWT,2017,1097
Kuwait,KWT,2018,1251
Kuwait,KWT,2019,1300
Kuwait,KWT,2020,1442
Kyrgyzstan,KGZ,1994,13
Kyrgyzstan,KGZ,1995,20
Kyrgyzstan,KGZ,1996,17118
Kyrgyzstan,KGZ,1997,16321
Kyrgyzstan,KGZ,1998,7450
Kyrgyzstan,KGZ,1999,4003
Kyrgyzstan,KGZ,2000,747
Kyrgyzstan,KGZ,2001,687
Kyrgyzstan,KGZ,2002,2952
Kyrgyzstan,KGZ,2003,3142
Kyrgyzstan,KGZ,2004,3286
Kyrgyzstan,KGZ,2005,3127
Kyrgyzstan,KGZ,2006,2493
Kyrgyzstan,KGZ,2007,2257
Kyrgyzstan,KGZ,2008,2526
Kyrgyzstan,KGZ,2009,2611
Kyrgyzstan,KGZ,2010,2748
Kyrgyzstan,KGZ,2011,3163
Kyrgyzstan,KGZ,2012,3490
Kyrgyzstan,KGZ,2013,2299
Kyrgyzstan,KGZ,2014,2449
Kyrgyzstan,KGZ,2015,2498
Kyrgyzstan,KGZ,2016,2571
Kyrgyzstan,KGZ,2017,2771
Kyrgyzstan,KGZ,2018,2934
Kyrgyzstan,KGZ,2019,2963
Kyrgyzstan,KGZ,2020,2896
Lebanon,LBN,1982,12590
Lebanon,LBN,1983,27270
Lebanon,LBN,1984,30060
Lebanon,LBN,1985,33140
Lebanon,LBN,1986,630
Lebanon,LBN,1988,439
Lebanon,LBN,1989,2197
Lebanon,LBN,1990,6993
Lebanon,LBN,1991,8501
Lebanon,LBN,1992,10257
Lebanon,LBN,1993,10629
Lebanon,LBN,1994,15649
Lebanon,LBN,1995,13513
Lebanon,LBN,1996,10888
Lebanon,LBN,1997,10228
Lebanon,LBN,1998,9782
Lebanon,LBN,1999,7677
Lebanon,LBN,2000,10208
Lebanon,LBN,2001,8754
Lebanon,LBN,2002,26313
Lebanon,LBN,2003,24929
Lebanon,LBN,2004,19854
Lebanon,LBN,2005,18325
Lebanon,LBN,2006,12249
Lebanon,LBN,2007,13089
Lebanon,LBN,2008,12966
Lebanon,LBN,2009,16250
Lebanon,LBN,2010,15864
Lebanon,LBN,2011,15004
Lebanon,LBN,2012,15100
Lebanon,LBN,2013,3809
Lebanon,LBN,2014,4262
Lebanon,LBN,2015,4353
Lebanon,LBN,2016,4719
Lebanon,LBN,2017,5302
Lebanon,LBN,2018,5621
Lebanon,LBN,2019,5647
Lebanon,LBN,2020,5495
Oman,OMN,1994,5
Oman,OMN,1995,9
Oman,OMN,1996,8
Oman,OMN,1997,8
Oman,OMN,1998,8
Oman,OMN,1999,8
Oman,OMN,2000,5
Oman,OMN,2001,5
Oman,OMN,2002,19
Oman,OMN,2003,5
Oman,OMN,2004,16
Oman,OMN,2005,10
Oman,OMN,2006,37
Oman,OMN,2007,44
Oman,OMN,2008,55
Oman,OMN,2009,63
Oman,OMN,2010,62
Oman,OMN,2011,58
