Entity,Code,Year,3_1_Researchers_per_million
Georgia,GEO,2013,566.3544921875
Georgia,GEO,2014,1059.4747314453125
Georgia,GEO,2015,1280.463623046875
Georgia,GEO,2016,1306.5908203125
Georgia,GEO,2017,1307.4061279296875
Georgia,GEO,2018,1463.7734375
Iran,IRN,2006,716.4080810546875
Iran,IRN,2008,752.4617919921875
Iran,IRN,2009,716.5734252929688
Iran,IRN,2010,743.1009521484375
Iran,IRN,2012,697.0623168945312
Iran,IRN,2013,679.3889770507812
Iran,IRN,2015,825.279296875
Iran,IRN,2017,1474.9134521484375
Jordan,JOR,1998,1838.6015625
Jordan,JOR,2015,252.41256713867188
Jordan,JOR,2016,592.404296875
Jordan,JOR,2017,595.9629516601562
Kazakhstan,KAZ,2007,406.5697326660156
Kazakhstan,KAZ,2008,376.494384765625
Kazakhstan,KAZ,2009,348.62542724609375
Kazakhstan,KAZ,2010,370.53265380859375
Kazakhstan,KAZ,2011,385.9151916503906
Kazakhstan,KAZ,2012,612.1830444335938
Kazakhstan,KAZ,2013,737.2203369140625
Kazakhstan,KAZ,2014,798.6654052734375
Kazakhstan,KAZ,2015,777.144775390625
Kazakhstan,KAZ,2016,693.6834106445312
Kazakhstan,KAZ,2017,666.1497192382812
Kazakhstan,KAZ,2018,666.935302734375
Kuwait,KWT,1997,194.7076873779297
Kuwait,KWT,1998,180.21766662597656
Kuwait,KWT,1999,167.0393524169922
Kuwait,KWT,2000,158.42567443847656
Kuwait,KWT,2001,159.75033569335938
Kuwait,KWT,2002,161.90945434570312
Kuwait,KWT,2003,165.61607360839844
Kuwait,KWT,2004,169.50755310058594
Kuwait,KWT,2005,169.1482391357422
Kuwait,KWT,2006,165.1449737548828
Kuwait,KWT,2007,188.49696350097656
Kuwait,KWT,2008,151.73141479492188
Kuwait,KWT,2009,142.50039672851562
Kuwait,KWT,2010,136.03468322753906
Kuwait,KWT,2011,129.73239135742188
Kuwait,KWT,2012,131.08966064453125
Kuwait,KWT,2014,620.1670532226562
Kuwait,KWT,2015,395.76690673828125
Kuwait,KWT,2016,478.1551208496094
Kuwait,KWT,2017,501.565673828125
Kuwait,KWT,2018,513.8602294921875
Oman,OMN,2011,148.75851440429688
Oman,OMN,2012,172.55775451660156
Oman,OMN,2013,132.07693481445312
Oman,OMN,2014,177.91253662109375
Oman,OMN,2015,212.53692626953125
Oman,OMN,2016,239.80296325683594
Oman,OMN,2017,242.41050720214844
Oman,OMN,2018,281.1611022949219
Pakistan,PAK,1997,76.1269302368164
Pakistan,PAK,2005,79.15585327148438
Pakistan,PAK,2007,156.95309448242188
Pakistan,PAK,2009,157.25340270996094
Pakistan,PAK,2011,143.02920532226562
Pakistan,PAK,2013,158.12962341308594
Pakistan,PAK,2015,278.8539733886719
Pakistan,PAK,2017,335.5806579589844
Palestine,PSE,2007,74.53826141357422
Palestine,PSE,2008,94.12242889404297
Palestine,PSE,2009,143.26611328125
Palestine,PSE,2010,323.5008239746094
Palestine,PSE,2013,575.1094360351562
Qatar,QAT,2012,548.0009155273438
Qatar,QAT,2015,583.9826049804688
Qatar,QAT,2018,577.3485107421875
Syria,SYR,2015,90.9575424194336
Turkey,TUR,1996,304.34197998046875
Turkey,TUR,1997,313.1885986328125
Turkey,TUR,1998,308.57818603515625
Turkey,TUR,1999,322.13580322265625
Turkey,TUR,2000,365.0052185058594
Turkey,TUR,2001,353.65643310546875
Turkey,TUR,2002,368.3301086425781
Turkey,TUR,2003,494.1790771484375
Turkey,TUR,2004,505.5376892089844
Turkey,TUR,2005,576.3914794921875
Turkey,TUR,2006,620.4982299804688
Turkey,TUR,2007,713.8048095703125
Turkey,TUR,2008,749.9560546875
Turkey,TUR,2009,809.8349609375
Turkey,TUR,2010,889.58447265625
Turkey,TUR,2011,981.8274536132812
Turkey,TUR,2012,1100.0841064453125
Turkey,TUR,2013,1173.188232421875
Turkey,TUR,2014,1160.923583984375
Turkey,TUR,2015,1211.7850341796875
Turkey,TUR,2016,1254.674560546875
Turkey,TUR,2017,1379.4119873046875
United Arab Emirates,ARE,2015,1980.4781494140625
United Arab Emirates,ARE,2016,2383.083740234375
United Arab Emirates,ARE,2018,2378.888916015625
Uzbekistan,UZB,2000,662.25390625
Uzbekistan,UZB,2001,614.6110229492188
Uzbekistan,UZB,2002,630.40869140625
Uzbekistan,UZB,2003,588.3312377929688
Uzbekistan,UZB,2004,578.3889770507812
Uzbekistan,UZB,2005,632.7808837890625
Uzbekistan,UZB,2006,565.6603393554688
Uzbekistan,UZB,2007,556.9255981445312
Uzbekistan,UZB,2008,580.4108276367188
Uzbekistan,UZB,2009,572.9817504882812
Uzbekistan,UZB,2010,544.958984375
Uzbekistan,UZB,2011,574.800537109375
Uzbekistan,UZB,2012,513.083251953125
Uzbekistan,UZB,2013,507.03863525390625
Uzbekistan,UZB,2014,501.2425537109375
Uzbekistan,UZB,2015,497.420654296875
Uzbekistan,UZB,2016,506.046875
Uzbekistan,UZB,2017,495.57281494140625
Uzbekistan,UZB,2018,476.1788330078125
