2016,160,160,160,3,TUR,
2014,626,626,671,3,YEM,
2015,35,35,35,3,YEM,
2014,159,159,169,3,PAK,
2001,1397,1388,2075,2,AFG,
2009,335,331,404,3,PAK,
2010,72,72,72,3,PAK,
2012,334,334,335,3,PAK,
2013,99,99,99,3,PAK,
2014,136,134,146,3,PAK,
2012,30,30,30,3,PAK,
2016,35,35,35,3,PAK,
2011,1203,1121,1451,3,SYR,
2012,50440,48722,55486,3,SYR: TUR,
2013,70506,67105,75007,3,IRQ: LBN: SYR,
2014,57945,56580,60210,3,LBN: SYR,
2015,39688,38113,41135,4,JOR: SYR,
2016,32590,31439,33726,4,SYR,
2017,12203,11630,12910,4,LBN: SYR,
2018,8690,8247,9167,4,SYR,
2019,6865,6718,7182,4,SYR,
2020,3513,3435,3718,4,RUS : SYR,
2021,674,662,783,4,SYR,
2019,31,31,46,3,IRN,
2012,46,39,51,3,SYR,
2013,78,63,77,3,SYR,
2014,52,37,61,3,SYR,
2015,84,81,86,3,SYR,
2014,36,36,36,3,PAK,
2021,56,56,56,2,KGZ: TJK,
2014,126,126,126,3,LBN,
2015,76,42,135,3,LBN,
2017,70,69,96,3,LBN,
2016,68,68,68,3,PAK,
2017,80,80,81,3,PAK,
2018,51,51,51,3,PAK,
2019,29,29,29,3,PAK,
2021,26,26,26,3,PAK,
2015,674,625,865,4,AFG,
2016,2141,2100,2544,4,AFG,
2017,2795,2738,3009,4,AFG,
2018,2842,2770,5149,4,AFG,
2019,1075,1045,1435,4,AFG,
2020,316,279,356,4,AFG,
2021,264,206,322,4,AFG: PAK,
2015,6467,6287,7441,4,SAU: YEM ,
2016,3014,3012,3060,4,SAU: YEM ,
2017,2674,2673,2919,4,SAU: YEM ,
2018,4480,4442,6571,4,SAU: YEM ,
2019,1778,1723,1945,4,SAU: YEM ,
2020,2335,2238,2522,4,SAU: YEM ,
2021,23189,21937,33466,4,SAU: YEM ,
2015,246,246,251,3,YEM ,
2017,26,5,26,3,YEM ,
2020,33,11,62,3,YEM ,
2013,1422,1414,1642,3,SYR,
2014,7336,6977,8114,3,SYR,
2015,10382,9967,10708,4,SYR,
2016,10903,10651,11248,4,SYR,
2017,11920,11667,13077,4,SYR,
2018,4347,4340,4461,4,SYR,
2019,523,522,636,4,SYR,
2020,1076,771,1377,4,SYR,
2021,680,680,774,4,SYR,
2015,26,26,27,3,SYR: TUR,
2016,1087,1082,1087,3,IRQ: SYR: TUR,
2017,770,703,916,3,SYR: TUR,
2016,34,34,35,3,JOR: SYR,
2016,152,145,154,3,SYR,
2018,35,35,87,3,SYR,
2017,27,27,27,3,IRN,
2016,274,274,354,3,TUR,
2017,235,235,366,3,YEM ,
2018,111,111,127,2,SYR,
2019,138,113,153,2,SYR,
2020,461,398,473,2,IRN: IRQ: SYR: YEM ,
2021,162,157,172,2,SYR,
2019,37,37,37,3,PAK,
2020,120,77,121,3,PAK,
2021,129,109,147,3,PAK,
2020,55,55,70,4,AFG,
2021,534,85,1834,3,AFG,
2000,30,30,30,3,TUR,
1990,31,31,335,3,IRN,
1993,110,110,110,3,IRN: IRQ,
1996,27,27,29,3,IRN: IRQ,
2016,30,30,137,3,IRN: IRQ,
2018,44,33,78,3,IRN: IRQ,
1990,28,26,28,2,IND: PAK,
1991,99,99,195,2,IND: PAK,
1994,42,42,42,2,IND: PAK,
1996,35,35,35,2,IND: PAK,
1997,127,127,133,2,IND: PAK,
1998,147,147,163,2,IND: PAK,
1999,934,914,1508,2,IND: PAK,
2000,198,198,234,2,IND: PAK,
2001,46,46,84,2,IND: PAK,
2002,212,212,233,2,IND: PAK,
2003,237,237,276,2,IND: PAK,
2013,31,31,33,2,IND: PAK,
2014,49,46,68,2,IND: PAK,
2015,63,62,64,2,IND: PAK,
2016,100,100,112,2,IND: PAK,
2017,151,151,153,2,IND: PAK,
2018,129,126,164,2,IND: PAK,
2019,164,164,175,2,IND: PAK,
2020,162,162,168,2,IND: PAK,
2009,94,94,103,4,YEM ,
2010,175,149,244,4,YEM ,
2011,1140,1135,1195,4,YEM ,
2012,2330,2328,2415,4,YEM ,
2013,582,581,641,4,YEM ,
