Entity,Code,Year,1_1_Water_withdrawal_pc
Afghanistan,AFG,1975,819.5
Afghanistan,AFG,1985,2303
Afghanistan,AFG,2000,943.8
Armenia,ARM,1995,932.1
Armenia,ARM,2000,568.8
Armenia,ARM,2005,956.5
Armenia,ARM,2010,987.6
Armenia,ARM,2015,1084
Azerbaijan,AZE,1995,1579
Azerbaijan,AZE,2000,1216
Azerbaijan,AZE,2005,1393
Azerbaijan,AZE,2010,1279
Georgia,GEO,2005,413.4
Georgia,GEO,2010,440.4
Iran,IRN,1975,1293
Iran,IRN,1995,1330
Iran,IRN,2000,1325
Iran,IRN,2005,1301
Israel,ISR,1970,515.5
Israel,ISR,1975,464.4
Israel,ISR,1980,437.7
Israel,ISR,1985,450.7
Israel,ISR,1990,375.3
Israel,ISR,1995,321.8
Israel,ISR,2000,293.4
Israel,ISR,2005,282.3
Jordan,JOR,1975,215.6
Jordan,JOR,1980,217.2
Jordan,JOR,1985,207.6
Jordan,JOR,1990,262.8
Jordan,JOR,2000,162.6
Jordan,JOR,2005,161.8
Jordan,JOR,2010,121.4
Jordan,JOR,2015,145.4
Kazakhstan,KAZ,1995,2177
Kazakhstan,KAZ,2000,1312
Kazakhstan,KAZ,2005,1315
Kazakhstan,KAZ,2010,1257
Kuwait,KWT,1995,319.1
Kuwait,KWT,2000,447.2
Kyrgyzstan,KGZ,1995,2131
Kyrgyzstan,KGZ,2000,2005
Kyrgyzstan,KGZ,2005,1531
Lebanon,LBN,1975,288.2
Lebanon,LBN,1995,418
Lebanon,LBN,2000,406.8
Lebanon,LBN,2005,320.7
Oman,OMN,1990,617.7
Oman,OMN,2000,585.4
Oman,OMN,2005,509.3
Pakistan,PAK,1975,2162
Pakistan,PAK,1990,1370
Pakistan,PAK,2000,1196
Pakistan,PAK,2010,1034
Palestine,PSE,2000,82.52
Palestine,PSE,2005,111.3
Qatar,QAT,1975,822.4
Qatar,QAT,1995,539.4
Qatar,QAT,2000,463.3
Qatar,QAT,2005,376.6
Saudi Arabia,SAU,1990,978.2
Saudi Arabia,SAU,2005,907.5
Syria,SYR,1975,413
Syria,SYR,1995,952.3
Syria,SYR,2000,962.5
Syria,SYR,2005,862.8
Turkey,TUR,1990,566.2
Turkey,TUR,2000,644.9
Turkey,TUR,2005,576.9
Turkey,TUR,2010,561.3
Turkmenistan,TKM,1995,5484
Turkmenistan,TKM,2000,5415
Turkmenistan,TKM,2005,5753
United Arab Emirates,ARE,1980,777.2
United Arab Emirates,ARE,1995,812.3
United Arab Emirates,ARE,2000,855.6
United Arab Emirates,ARE,2005,665.2
Uzbekistan,UZB,1995,2473
Uzbekistan,UZB,2000,2415
Uzbekistan,UZB,2005,2106
Yemen,YEM,1990,221.4
Yemen,YEM,2000,180.5
Yemen,YEM,2005,164.3
