Entity,Code,Year,1_1_Fertilizer_kg_ha
Afghanistan,AFG,1961,0.143790856
Afghanistan,AFG,1962,0.142857149
Afghanistan,AFG,1963,0.141935483
Afghanistan,AFG,1964,0.141025648
Afghanistan,AFG,1965,0.141025648
Afghanistan,AFG,1966,0.191448629
Afghanistan,AFG,1967,1.274859786
Afghanistan,AFG,1968,1.912289619
Afghanistan,AFG,1969,2.162849903
Afghanistan,AFG,1970,2.465057135
Afghanistan,AFG,1971,2.594936609
Afghanistan,AFG,1972,3.680151701
Afghanistan,AFG,1973,3.109987259
Afghanistan,AFG,1974,4.285714149
Afghanistan,AFG,1975,4.599747181
Afghanistan,AFG,1976,5.592414856
Afghanistan,AFG,1977,6.855372906
Afghanistan,AFG,1978,6.784955978
Afghanistan,AFG,1979,6.288116455
Afghanistan,AFG,1980,6.463463783
Afghanistan,AFG,1981,5.778887272
Afghanistan,AFG,1982,6.672945499
Afghanistan,AFG,1983,7.152970791
Afghanistan,AFG,1984,9.178255081
Afghanistan,AFG,1985,9.224020004
Afghanistan,AFG,1986,8.505688667
Afghanistan,AFG,1987,9.989886284
Afghanistan,AFG,1988,7.045512199
Afghanistan,AFG,1989,7.029077053
Afghanistan,AFG,1990,5.625790119
Afghanistan,AFG,1991,6.14412117
Afghanistan,AFG,1992,5.790139198
Afghanistan,AFG,1993,5.112474442
Afghanistan,AFG,1996,0.653851211
Afghanistan,AFG,1997,0.650618076
Afghanistan,AFG,1998,0.902410746
Afghanistan,AFG,1999,0.653338552
Afghanistan,AFG,2000,0.650787473
Afghanistan,AFG,2001,2.394897938
Afghanistan,AFG,2002,3.194390535
Afghanistan,AFG,2003,3.478546143
Afghanistan,AFG,2004,4.243778229
Afghanistan,AFG,2005,3.81478405
Afghanistan,AFG,2006,3.190854549
Afghanistan,AFG,2007,2.101269007
Afghanistan,AFG,2008,1.85168457
Afghanistan,AFG,2009,1.887862206
Afghanistan,AFG,2010,1.777859569
Afghanistan,AFG,2011,3.827005625
Afghanistan,AFG,2012,2.37785244
Afghanistan,AFG,2013,4.882714272
Afghanistan,AFG,2014,10.1661129
Afghanistan,AFG,2015,4.022201061
Afghanistan,AFG,2016,13.68014622
Afghanistan,AFG,2017,20.452528
Afghanistan,AFG,2018,7.65067625
Armenia,ARM,1992,59.10165405
Armenia,ARM,1993,34.64203262
Armenia,ARM,1994,16.09195328
Armenia,ARM,1995,16.09195328
Armenia,ARM,1996,17.77777863
Armenia,ARM,1997,17.58241844
Armenia,ARM,1998,21.1428566
Armenia,ARM,1999,13.68444443
Armenia,ARM,2000,15.55555534
Armenia,ARM,2001,10.98901081
Armenia,ARM,2002,34.5230751
Armenia,ARM,2003,22.99780273
Armenia,ARM,2004,31.65054893
Armenia,ARM,2005,22.69230843
Armenia,ARM,2006,127.843895
Armenia,ARM,2007,59.32315826
Armenia,ARM,2008,54.15253067
Armenia,ARM,2009,88.0004425
Armenia,ARM,2010,66.05484772
Armenia,ARM,2011,80.95792389
Armenia,ARM,2012,129.4081116
Armenia,ARM,2013,132.0673828
Armenia,ARM,2014,118.6884918
Armenia,ARM,2015,145.5999603
Armenia,ARM,2016,330.4903564
Armenia,ARM,2017,202.5544891
Armenia,ARM,2018,202.7363129
Azerbaijan,AZE,1992,44.00117493
Azerbaijan,AZE,1993,31.47220039
Azerbaijan,AZE,1994,22.62705994
Azerbaijan,AZE,1995,22.59167099
Azerbaijan,AZE,1996,9.300762177
Azerbaijan,AZE,1997,13.15789509
Azerbaijan,AZE,1998,8.730729103
Azerbaijan,AZE,1999,7.562057972
Azerbaijan,AZE,2000,2.245836973
Azerbaijan,AZE,2001,6.482540607
Azerbaijan,AZE,2002,10.4337883
Azerbaijan,AZE,2003,7.64209938
Azerbaijan,AZE,2004,11.97479248
Azerbaijan,AZE,2005,13.36046028
Azerbaijan,AZE,2006,13.33894539
Azerbaijan,AZE,2007,10.63754082
Azerbaijan,AZE,2008,20.93753433
Azerbaijan,AZE,2009,13.41141987
Azerbaijan,AZE,2010,9.954885483
Azerbaijan,AZE,2011,15.57458782
Azerbaijan,AZE,2012,19.07650185
Azerbaijan,AZE,2013,19.96245193
Azerbaijan,AZE,2014,31.75203705
Azerbaijan,AZE,2015,50.96609497
Azerbaijan,AZE,2016,44.21460724
Azerbaijan,AZE,2017,36.67366791
Azerbaijan,AZE,2018,60.67989731
Georgia,GEO,1992,90.56604004
Georgia,GEO,1993,67.7987442
Georgia,GEO,1994,38.99370956
Georgia,GEO,1995,40.20752335
Georgia,GEO,1996,41.22919464
Georgia,GEO,1997,46.49681473
Georgia,GEO,1998,42.92929459
Georgia,GEO,1999,50.63291168
Georgia,GEO,2000,52.9634285
Georgia,GEO,2001,35.22012711
Georgia,GEO,2002,33.04130173
Georgia,GEO,2003,14.36907768
Georgia,GEO,2004,31.46681404
Georgia,GEO,2005,53.28723526
Georgia,GEO,2006,47.52813721
Georgia,GEO,2007,41.33909225
Georgia,GEO,2008,37.53158951
Georgia,GEO,2009,44.94457245
Georgia,GEO,2010,35.3569603
Georgia,GEO,2011,122.042923
Georgia,GEO,2012,144.2472382
Georgia,GEO,2013,174.4531097
Georgia,GEO,2014,159.3868256
Georgia,GEO,2015,152.9586945
Georgia,GEO,2016,170.8321228
Georgia,GEO,2017,143.8578644
Georgia,GEO,2018,154.0359192
Iran,IRN,1961,0.923431218
Iran,IRN,1962,1.20206809
Iran,IRN,1963,1.622866631
Iran,IRN,1964,2.080013275
Iran,IRN,1965,2.463382244
Iran,IRN,1966,3.260146379
Iran,IRN,1967,5.003322124
Iran,IRN,1968,5.152318001
Iran,IRN,1969,5.753968239
Iran,IRN,1970,6.268976688
Iran,IRN,1971,11.36242867
Iran,IRN,1972,12.3552103
Iran,IRN,1973,19.43595123
Iran,IRN,1974,20.31117821
Iran,IRN,1975,21.19747543
Iran,IRN,1976,22.27397346
Iran,IRN,1977,27.28271675
Iran,IRN,1978,21.97963715
Iran,IRN,1979,31.10931969
Iran,IRN,1980,47.24019623
Iran,IRN,1981,50.56162262
Iran,IRN,1982,63.41630554
Iran,IRN,1983,72.0809021
Iran,IRN,1984,63.1862793
Iran,IRN,1985,60.71530151
Iran,IRN,1986,60.10382843
Iran,IRN,1987,61.45013046
Iran,IRN,1988,65.85346222
Iran,IRN,1989,82.58441925
Iran,IRN,1990,76.43186188
Iran,IRN,1991,68.88076019
Iran,IRN,1992,79.55448151
Iran,IRN,1993,51.99053955
Iran,IRN,1994,57.91082764
Iran,IRN,1995,58.50011444
Iran,IRN,1996,63.12949753
Iran,IRN,1997,73.15489197
Iran,IRN,1998,75.31032562
Iran,IRN,1999,81.43477631
Iran,IRN,2000,93.37731171
Iran,IRN,2001,83.57726288
Iran,IRN,2002,87.89614868
Iran,IRN,2003,93.43421936
Iran,IRN,2004,98.49072266
Iran,IRN,2005,103.4969635
Iran,IRN,2006,126.7806168
Iran,IRN,2007,97.72444153
Iran,IRN,2008,108.0992279
Iran,IRN,2009,90.39303589
Iran,IRN,2010,90.24886322
Iran,IRN,2011,48.30572128
Iran,IRN,2012,52.30986023
Iran,IRN,2013,56.80892944
Iran,IRN,2014,73.21302032
Iran,IRN,2015,47.47706985
Iran,IRN,2016,47.53553772
Iran,IRN,2017,47.53553772
Iran,IRN,2018,47.53553772
Israel,ISR,1961,113.9150925
Israel,ISR,1962,107.5695801
Israel,ISR,1963,106.9437485
Israel,ISR,1964,115.217392
Israel,ISR,1965,128.8461609
Israel,ISR,1966,123.6180115
Israel,ISR,1967,144.1950531
Israel,ISR,1968,142.5310516
Israel,ISR,1969,165.4672852
Israel,ISR,1970,176.3538513
Israel,ISR,1971,186.1503143
Israel,ISR,1972,192.8769226
Israel,ISR,1973,170.0149689
Israel,ISR,1974,190.3805237
Israel,ISR,1975,221.9940491
Israel,ISR,1976,227.4276886
Israel,ISR,1977,245.5230713
Israel,ISR,1978,257.4153748
Israel,ISR,1979,239.5138397
Israel,ISR,1980,243.8523102
Israel,ISR,1981,231.9692383
Israel,ISR,1982,252.8769226
Israel,ISR,1983,265.6825256
Israel,ISR,1984,292.6829224
Israel,ISR,1985,281.6513672
Israel,ISR,1986,277.2189331
Israel,ISR,1987,289.0855408
Israel,ISR,1988,287.6106262
Israel,ISR,1989,294.0828552
Israel,ISR,1990,299.1253662
Israel,ISR,1991,269.7406311
Israel,ISR,1992,281.8443909
Israel,ISR,1993,282.4207458
Israel,ISR,1994,297.9942627
Israel,ISR,1995,301.4492798
Israel,ISR,1996,354.1666565
Israel,ISR,1997,357.1428528
Israel,ISR,1998,361.1940308
Israel,ISR,1999,267.2672729
Israel,ISR,2000,278.1065063
Israel,ISR,2001,261.4035034
Israel,ISR,2002,251.8624573
Israel,ISR,2003,282.9341431
Israel,ISR,2004,320.9003296
Israel,ISR,2005,292.6044922
Israel,ISR,2006,304.9505005
Israel,ISR,2007,344.9967346
Israel,ISR,2008,280.6139526
Israel,ISR,2009,200.4600677
Israel,ISR,2010,206.4032745
Israel,ISR,2011,251.6063538
Israel,ISR,2012,278.8330994
Israel,ISR,2013,296.0112
Israel,ISR,2014,264.2262878
Israel,ISR,2015,243.6069946
Israel,ISR,2016,280.6779785
Israel,ISR,2017,238.501297
Israel,ISR,2018,240.6779633
Jordan,JOR,1961,5.788888931
Jordan,JOR,1962,7.738970757
Jordan,JOR,1963,8.970695496
Jordan,JOR,1964,15.93818188
Jordan,JOR,1965,18.47826004
Jordan,JOR,1966,12.19424438
Jordan,JOR,1967,13.76702499
Jordan,JOR,1968,14.02847004
Jordan,JOR,1969,9.145390511
Jordan,JOR,1970,9.60211277
Jordan,JOR,1971,8.424561501
Jordan,JOR,1972,10.48780441
Jordan,JOR,1973,13.88888931
Jordan,JOR,1974,15.93103409
Jordan,JOR,1975,19.9312706
Jordan,JOR,1976,27.19112587
Jordan,JOR,1977,18.70748329
Jordan,JOR,1978,27.27364922
Jordan,JOR,1979,48.82154846
Jordan,JOR,1980,48.16053391
Jordan,JOR,1981,25
Jordan,JOR,1982,50.35123444
Jordan,JOR,1983,53.96052551
Jordan,JOR,1984,70.81565094
Jordan,JOR,1985,55.78034592
Jordan,JOR,1986,28.35982704
Jordan,JOR,1987,42.5973587
Jordan,JOR,1988,88.14610291
Jordan,JOR,1989,70.01366425
Jordan,JOR,1990,93.75
Jordan,JOR,1991,136.6064301
Jordan,JOR,1992,60.45436859
Jordan,JOR,1993,71.179039
Jordan,JOR,1994,66.35070801
Jordan,JOR,1995,63.49206161
Jordan,JOR,1996,106.3888855
Jordan,JOR,1997,128.4545441
Jordan,JOR,1998,123.3210526
Jordan,JOR,1999,121.1789474
Jordan,JOR,2000,108.5421066
Jordan,JOR,2001,116.3541641
Jordan,JOR,2002,221.7948761
Jordan,JOR,2003,123.7288132
Jordan,JOR,2004,296.028717
Jordan,JOR,2005,364.070282
Jordan,JOR,2006,104.2631607
Jordan,JOR,2007,398.5531006
Jordan,JOR,2008,165.3444824
Jordan,JOR,2009,60.50298691
Jordan,JOR,2010,168.0630646
Jordan,JOR,2011,467.1753845
Jordan,JOR,2012,372.9040527
Jordan,JOR,2013,131
Jordan,JOR,2014,92.56842041
Jordan,JOR,2015,176.9284821
Jordan,JOR,2016,112.3366776
Jordan,JOR,2017,133.8609619
Jordan,JOR,2018,114.0447769
Kazakhstan,KAZ,1992,13.55013561
Kazakhstan,KAZ,1993,9.246575356
Kazakhstan,KAZ,1994,3.488740921
Kazakhstan,KAZ,1995,2.736450911
Kazakhstan,KAZ,1996,3.968782902
Kazakhstan,KAZ,1997,1.72340703
Kazakhstan,KAZ,1998,0.404294223
Kazakhstan,KAZ,1999,1.066872954
Kazakhstan,KAZ,2000,1.226818919
Kazakhstan,KAZ,2001,1.716638803
Kazakhstan,KAZ,2002,0.836099744
Kazakhstan,KAZ,2003,1.190392137
Kazakhstan,KAZ,2004,1.478292584
Kazakhstan,KAZ,2005,1.428456426
Kazakhstan,KAZ,2006,1.446743131
Kazakhstan,KAZ,2007,2.056478024
Kazakhstan,KAZ,2008,1.083457828
Kazakhstan,KAZ,2009,1.970773816
Kazakhstan,KAZ,2010,2.046032906
Kazakhstan,KAZ,2011,2.995551825
Kazakhstan,KAZ,2012,4.420250416
Kazakhstan,KAZ,2013,2.888581991
Kazakhstan,KAZ,2014,3.952704668
Kazakhstan,KAZ,2015,4.295448303
Kazakhstan,KAZ,2016,7.303776264
Kazakhstan,KAZ,2017,8.28806591
Kazakhstan,KAZ,2018,8.262629509
Kuwait,KWT,1977,100
Kuwait,KWT,1978,100
Kuwait,KWT,1979,660
Kuwait,KWT,1980,440
Kuwait,KWT,1981,250
Kuwait,KWT,1982,250
Kuwait,KWT,1983,250
Kuwait,KWT,1984,166.6666718
Kuwait,KWT,1985,233.3333282
Kuwait,KWT,1986,101.75
Kuwait,KWT,1987,82
Kuwait,KWT,1988,193.75
Kuwait,KWT,1989,125
Kuwait,KWT,1992,200
Kuwait,KWT,1993,200
Kuwait,KWT,1994,200
Kuwait,KWT,1995,200
Kuwait,KWT,1996,333.3333435
Kuwait,KWT,1997,200
Kuwait,KWT,1998,166.6666718
Kuwait,KWT,1999,157.1428528
Kuwait,KWT,2000,62.90000153
Kuwait,KWT,2001,80.46154022
Kuwait,KWT,2002,83.33333588
Kuwait,KWT,2003,83.33333588
Kuwait,KWT,2004,90.90908813
Kuwait,KWT,2005,90.90908813
Kuwait,KWT,2006,317.1054688
Kuwait,KWT,2007,294.3752136
Kuwait,KWT,2008,533.5336304
Kuwait,KWT,2009,95.23809814
Kuwait,KWT,2010,228.3959961
Kuwait,KWT,2011,441.5523682
Kuwait,KWT,2012,468.6080017
Kuwait,KWT,2013,434.126709
Kuwait,KWT,2014,671.8873901
Kuwait,KWT,2015,1122.567505
Kuwait,KWT,2016,1000.723755
Kuwait,KWT,2017,1077.848877
Kuwait,KWT,2018,1059.47998
Kyrgyzstan,KGZ,1992,24.24242401
Kyrgyzstan,KGZ,1993,20.71006012
Kyrgyzstan,KGZ,1994,21.45593834
Kyrgyzstan,KGZ,1995,22.25755119
Kyrgyzstan,KGZ,1996,22.84450912
Kyrgyzstan,KGZ,1997,22.82768822
Kyrgyzstan,KGZ,1998,21.38088226
Kyrgyzstan,KGZ,1999,20.51973724
Kyrgyzstan,KGZ,2000,21.53318596
Kyrgyzstan,KGZ,2001,20.5491066
Kyrgyzstan,KGZ,2002,7.050557613
Kyrgyzstan,KGZ,2003,24.71056557
Kyrgyzstan,KGZ,2004,21.68215942
Kyrgyzstan,KGZ,2005,24.6285038
Kyrgyzstan,KGZ,2006,22.19677544
Kyrgyzstan,KGZ,2007,22.45468712
Kyrgyzstan,KGZ,2008,18.97381783
Kyrgyzstan,KGZ,2009,22.06818199
Kyrgyzstan,KGZ,2010,22.65945816
Kyrgyzstan,KGZ,2011,19.16843033
Kyrgyzstan,KGZ,2012,24.31615257
Kyrgyzstan,KGZ,2013,27.43020248
Kyrgyzstan,KGZ,2014,32.00062561
Kyrgyzstan,KGZ,2015,10.40358448
Kyrgyzstan,KGZ,2016,12.69338417
Kyrgyzstan,KGZ,2017,7.690347672
Kyrgyzstan,KGZ,2018,21.24611855
Lebanon,LBN,1961,90
Lebanon,LBN,1962,64.80000305
Lebanon,LBN,1963,106.7777786
Lebanon,LBN,1964,131.8631592
Lebanon,LBN,1965,71.48543549
