Entity,Code,Year,1_1_Pesticides_kg_ha
Armenia,ARM,1992,0.02
Armenia,ARM,1993,0.02
Armenia,ARM,1994,0.05
Armenia,ARM,1995,0.05
Armenia,ARM,1996,0.06
Armenia,ARM,1997,0.08
Armenia,ARM,1998,0.1
Armenia,ARM,1999,0.12
Armenia,ARM,2000,0.14
Armenia,ARM,2001,0.16
Armenia,ARM,2002,0.18
Armenia,ARM,2003,0.2
Armenia,ARM,2004,0.41
Armenia,ARM,2005,0.44
Armenia,ARM,2006,0.45
Armenia,ARM,2007,0.48
Armenia,ARM,2008,0.43
Armenia,ARM,2009,0.39
Armenia,ARM,2010,0.55
Armenia,ARM,2011,0.64
Armenia,ARM,2012,0.72
Armenia,ARM,2013,0.8
Armenia,ARM,2014,0.88
Armenia,ARM,2015,0.97
Armenia,ARM,2016,1.05
Armenia,ARM,2017,1.14
Armenia,ARM,2018,1.22
Armenia,ARM,2019,1.04
Armenia,ARM,2020,1.27
Azerbaijan,AZE,1992,0.07
Azerbaijan,AZE,1993,0.07
Azerbaijan,AZE,1994,0.07
Azerbaijan,AZE,1995,0.07
Azerbaijan,AZE,1996,0.07
Azerbaijan,AZE,1997,0.07
Azerbaijan,AZE,1998,0.07
Azerbaijan,AZE,1999,0.07
Azerbaijan,AZE,2000,0.07
Azerbaijan,AZE,2001,0.07
Azerbaijan,AZE,2002,0.07
Azerbaijan,AZE,2003,0.07
Azerbaijan,AZE,2004,0.07
Azerbaijan,AZE,2005,0.07
Azerbaijan,AZE,2006,0.07
Azerbaijan,AZE,2007,0.07
Azerbaijan,AZE,2008,0.13
Azerbaijan,AZE,2009,0.15
Azerbaijan,AZE,2010,0.16
Azerbaijan,AZE,2011,0.22
Azerbaijan,AZE,2012,0.24
Azerbaijan,AZE,2013,0.23
Azerbaijan,AZE,2014,0.25
Azerbaijan,AZE,2015,0.24
Azerbaijan,AZE,2016,0.24
Azerbaijan,AZE,2017,0.23
Azerbaijan,AZE,2018,0.23
Azerbaijan,AZE,2019,0.23
Azerbaijan,AZE,2020,0.23
Georgia,GEO,1992,2.73
Georgia,GEO,1993,2.73
Georgia,GEO,1994,2.73
Georgia,GEO,1995,2.86
Georgia,GEO,1996,2.89
Georgia,GEO,1997,2.9
Georgia,GEO,1998,2.9
Georgia,GEO,1999,2.91
Georgia,GEO,2000,2.9
Georgia,GEO,2001,2.9
Georgia,GEO,2002,2.9
Georgia,GEO,2003,2.89
Georgia,GEO,2004,5.58
Georgia,GEO,2005,5.31
Georgia,GEO,2006,5.33
Georgia,GEO,2007,5.34
Georgia,GEO,2008,5.37
Georgia,GEO,2009,5.52
Georgia,GEO,2010,5.93
Georgia,GEO,2011,6.13
Georgia,GEO,2012,6.22
Georgia,GEO,2013,5.65
Georgia,GEO,2014,6.49
Georgia,GEO,2015,2.83
Georgia,GEO,2016,3.26
Georgia,GEO,2017,3.91
Georgia,GEO,2018,5.15
Georgia,GEO,2019,5.93
Georgia,GEO,2020,6.54
Iran,IRN,1990,0.65
Iran,IRN,1991,0.91
Iran,IRN,1992,0.64
Iran,IRN,1993,0.51
Iran,IRN,1994,0.55
Iran,IRN,1995,0.47
Iran,IRN,1996,0.29
Iran,IRN,1997,0.36
Iran,IRN,1998,0.4
Iran,IRN,1999,0.47
Iran,IRN,2000,0.58
Iran,IRN,2001,0.52
Iran,IRN,2002,0.55
Iran,IRN,2003,0.57
Iran,IRN,2004,0.56
Iran,IRN,2005,0.43
Iran,IRN,2006,0.45
Iran,IRN,2007,0.32
Iran,IRN,2008,0.18
Iran,IRN,2009,0.24
Iran,IRN,2010,0.26
Iran,IRN,2011,0.28
Iran,IRN,2012,0.42
Iran,IRN,2013,0.39
Iran,IRN,2014,0.4
Iran,IRN,2015,0.41
Iran,IRN,2016,0.42
Iran,IRN,2017,0.41
Iran,IRN,2018,0.33
Iran,IRN,2019,0.28
Iran,IRN,2020,0.33
Israel,ISR,1990,5.78
Israel,ISR,1991,5.75
